; CSV, generated by libsigrok4DSL 0.2.0 on Fri Sep 18 22:17:24 2026
; Channels (12/16)
; Sample rate: 20 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0.00015465,0,1,1,0,0,1,1,0,1,1,1,0
0.00015485,0,1,1,0,0,1,1,0,1,1,1,1
0.0001549,1,1,1,1,0,1,1,0,1,1,1,1
0.00015495,1,0,1,1,0,1,1,0,1,1,1,1
0.0001581,1,0,1,1,0,1,1,0,1,1,1,0
0.00015815,1,0,1,1,0,1,1,0,1,0,0,0
0.0001584,1,0,1,1,0,1,1,0,1,0,0,1
0.00016165,1,0,1,1,0,1,1,0,1,0,0,0
0.0001619,1,0,1,1,0,1,1,0,1,0,0,1
0.0001652,1,0,1,1,0,1,1,0,1,1,1,0
0.00016545,1,0,1,1,0,1,1,0,1,1,1,1
0.0001655,1,1,1,1,0,1,1,0,0,1,1,1
0.00016555,0,1,1,1,0,1,1,0,0,1,1,1
0.0001687,0,1,1,1,0,1,1,0,0,1,1,0
0.00016875,0,1,1,1,0,1,1,0,0,0,0,0
0.000169,0,1,1,1,0,1,1,0,0,0,0,1
0.00017225,0,1,1,1,0,1,1,0,0,0,0,0
0.0001725,0,1,1,1,0,1,1,0,0,0,0,1
0.00017255,1,1,1,1,0,1,1,0,0,1,1,1
0.0001726,1,1,1,0,0,1,1,0,1,1,1,1
0.0001758,1,1,1,0,0,1,1,0,1,1,1,0
0.00017585,1,1,1,0,0,1,1,0,1,0,1,0
0.00017605,1,1,1,0,0,1,1,0,1,0,1,1
0.00017935,1,1,1,0,0,1,1,0,1,0,1,0
0.0001794,1,1,1,0,0,1,1,0,1,1,1,0
0.0001796,1,1,1,0,0,1,1,0,1,1,1,1
0.00017965,1,1,1,1,0,1,1,0,1,1,1,1
0.0001829,1,1,1,1,0,1,1,0,1,0,0,0
0.00018315,1,1,1,1,0,1,1,0,1,0,0,1
0.00018645,1,1,1,1,0,1,1,0,1,0,0,0
0.0001867,1,1,1,1,0,1,1,0,1,0,0,1
0.00018995,1,1,1,1,0,1,1,0,1,0,0,0
0.00019,1,1,1,1,0,1,1,0,1,1,1,0
0.00019025,1,1,1,1,1,1,1,0,0,1,1,1
0.0001903,0,0,0,0,1,1,1,0,0,1,1,1
0.0001935,0,0,0,0,1,1,1,0,0,1,1,0
0.00019355,0,0,0,0,1,1,1,0,0,0,0,0
0.00019375,0,0,0,0,1,1,1,0,0,0,0,1
0.00019705,0,0,0,0,1,1,1,0,0,0,0,0
0.0001973,0,0,0,0,1,1,1,0,0,0,0,1
0.00019735,0,0,0,1,1,1,1,0,1,1,1,1
0.0001974,0,0,0,1,0,1,1,0,1,1,1,1
0.0002006,0,0,0,1,0,1,1,0,1,0,1,0
0.00020085,0,0,0,1,0,1,1,0,1,0,1,1
0.00020415,0,0,0,1,0,1,1,0,1,1,1,0
0.0002044,0,0,0,1,0,1,1,0,1,1,1,1
0.00020445,1,0,0,0,1,1,1,0,1,1,1,1
0.00020765,1,0,0,0,1,1,1,0,1,1,1,0
0.0002077,1,0,0,0,1,1,1,0,1,0,0,0
0.00020795,1,0,0,0,1,1,1,0,1,0,0,1
0.0002112,1,0,0,0,1,1,1,0,1,0,0,0
0.00021145,1,0,0,0,1,1,1,0,1,0,0,1
0.00021475,1,0,0,0,1,1,1,0,1,0,0,0
0.0002148,1,0,0,0,1,1,1,0,1,1,1,0
0.000215,1,0,0,0,1,1,1,0,1,1,1,1
0.00021505,1,1,0,0,1,1,1,0,0,1,1,1
0.0002151,0,1,0,0,1,1,1,0,0,1,1,1
0.0002183,0,1,0,0,1,1,1,0,0,0,0,0
0.00021855,0,1,0,0,1,1,1,0,0,0,0,1
0.0002218,0,1,0,0,1,1,1,0,0,0,0,0
0.0002221,1,1,0,1,1,1,1,0,0,0,0,1
0.00022215,1,0,0,1,1,1,1,0,1,1,1,1
0.0002222,1,0,0,1,0,1,1,0,1,1,1,1
0.00022535,1,0,0,1,0,1,1,0,1,1,1,0
0.0002254,1,0,0,1,0,1,1,0,1,0,1,0
0.0002256,1,0,0,1,0,1,1,0,1,0,1,1
0.0002289,1,0,0,1,0,1,1,0,1,0,1,0
0.00022895,1,0,0,1,0,1,1,0,1,1,1,0
0.00022915,1,0,0,1,0,1,1,0,1,1,1,1
0.0002292,1,1,0,1,1,1,1,0,0,1,1,1
0.00022925,1,1,0,0,1,1,1,0,0,1,1,1
0.00023245,1,1,0,0,1,1,1,0,0,1,1,0
0.0002325,1,1,0,0,1,1,1,0,0,0,0,0
0.0002327,1,1,0,0,1,1,1,0,0,0,0,1
0.000236,1,1,0,0,1,1,1,0,0,0,0,0
0.00023625,1,1,0,0,1,1,1,0,0,0,0,1
0.0002363,1,1,0,1,1,1,1,0,1,1,1,1
0.00023635,0,1,0,1,0,1,1,0,1,1,1,1
0.00023955,0,1,0,1,0,1,1,0,1,0,1,0
0.0002398,0,1,0,1,0,1,1,0,1,0,1,1
0.00024305,0,1,0,1,0,1,1,0,1,0,1,0
0.0002431,0,1,0,1,0,1,1,0,1,1,1,0
0.0002433,0,1,0,1,0,1,1,0,1,1,1,1
0.00024335,0,1,1,1,1,1,1,0,1,1,1,1
0.0002434,0,0,1,1,1,1,1,0,1,1,1,1
0.0002466,0,0,1,1,1,1,1,0,1,1,1,0
0.00024665,0,0,1,1,1,1,1,0,1,0,0,0
0.00024685,0,0,1,1,1,1,1,0,1,0,0,1
0.00025015,0,0,1,1,1,1,1,0,1,0,0,0
0.0002504,0,0,1,1,1,1,1,0,1,0,0,1
0.00025365,0,0,1,1,1,1,1,0,1,0,0,0
0.0002537,0,0,1,1,1,1,1,0,1,1,1,0
0.00025395,0,0,1,1,1,1,1,0,0,1,1,1
0.000254,0,0,1,0,1,1,1,0,0,1,1,1
0.0002572,0,0,1,0,1,1,1,0,0,1,1,0
0.00025725,0,0,1,0,1,1,1,0,0,0,0,0
0.00025745,0,0,1,0,1,1,1,0,0,0,0,1
0.00026075,0,0,1,0,1,1,1,0,0,0,0,0
0.000261,0,0,1,0,1,1,1,0,0,0,0,1
0.00026105,1,1,1,1,1,1,1,0,1,1,1,1
0.0002611,1,1,0,1,0,1,1,0,1,1,1,1
0.0002643,1,1,0,1,0,1,1,0,1,0,1,0
0.00026455,1,1,0,1,0,1,1,0,1,0,1,1
0.0002678,1,1,0,1,0,1,1,0,1,0,1,0
0.00026785,1,1,0,1,0,1,1,0,1,1,1,0
0.0002681,1,1,1,1,1,1,1,0,1,1,1,1
0.00026815,0,0,1,1,1,1,1,0,1,1,1,1
0.00027135,0,0,1,1,1,1,1,0,1,1,1,0
0.0002714,0,0,1,1,1,1,1,0,1,0,0,0
0.0002716,0,0,1,1,1,1,1,0,1,0,0,1
0.0002749,0,0,1,1,1,1,1,0,1,0,0,0
0.00027515,0,0,1,1,1,1,1,0,1,0,0,1
0.0002784,0,0,1,1,1,1,1,0,1,0,0,0
0.00027845,0,0,1,1,1,1,1,0,1,1,1,0
0.0002787,1,0,1,1,1,1,1,0,0,1,1,1
0.0002788,1,0,1,0,1,1,1,0,0,1,1,1
0.00028195,1,0,1,0,1,1,1,0,0,1,1,0
0.000282,1,0,1,0,1,1,1,0,0,0,0,0
0.00028225,1,0,1,0,1,1,1,0,0,0,0,1
0.0002855,1,0,1,0,1,1,1,0,0,0,0,0
0.00028575,1,0,1,0,1,1,1,0,0,0,0,1
0.0002858,1,0,1,1,1,1,1,0,1,1,1,1
0.00028585,0,0,1,1,0,1,1,0,1,1,1,1
0.00028905,0,0,1,1,0,1,1,0,1,0,1,0
0.0002893,0,0,1,1,0,1,1,0,1,0,1,1
0.0002926,0,0,1,1,0,1,1,0,1,1,1,0
0.00029285,1,0,1,1,0,1,1,0,1,1,1,1
0.0002961,1,0,1,1,0,1,1,0,1,1,1,0
0.00029615,1,0,1,1,0,1,1,0,1,0,0,0
0.00029635,1,0,1,1,0,1,1,0,1,0,0,1
0.00029965,1,0,1,1,0,1,1,0,1,0,0,0
0.0002999,1,0,1,1,0,1,1,0,1,0,0,1
0.0003032,1,0,1,1,0,1,1,0,1,0,0,0
0.00030325,1,0,1,1,0,1,1,0,1,1,1,0
0.00030345,1,0,1,1,0,1,1,0,1,1,1,1
0.0003035,1,1,1,1,1,1,1,0,0,1,1,1
0.00030355,1,1,1,0,1,1,1,0,0,1,1,1
0.0003036,0,1,1,0,1,1,1,0,0,1,1,1
0.00030675,0,1,1,0,1,1,1,0,0,1,1,0
0.0003068,0,1,1,0,1,1,1,0,0,0,0,0
0.000307,0,1,1,0,1,1,1,0,0,0,0,1
0.0003103,0,1,1,0,1,1,1,0,0,0,0,0
0.00031055,0,1,1,0,1,1,1,0,0,0,0,1
0.0003106,1,1,1,1,1,1,1,0,1,1,1,1
0.00031065,1,0,1,1,0,1,1,0,1,1,1,1
0.00031385,1,0,1,1,0,1,1,0,1,0,1,0
0.0003141,1,0,1,1,0,1,1,0,1,0,1,1
0.0003174,1,0,1,1,0,1,1,0,1,1,1,0
0.00031765,1,0,1,1,0,1,1,0,1,1,1,1
0.00032095,1,0,1,1,0,1,1,0,1,1,1,0
0.000321,1,0,1,1,0,1,1,0,1,0,0,0
0.0003212,1,0,1,1,0,1,1,0,1,0,0,1
0.00032445,1,0,1,1,0,1,1,0,1,0,0,0
0.00032475,1,0,1,1,0,1,1,0,1,0,0,1
0.000328,1,0,1,1,0,1,1,0,1,0,0,0
0.00032805,1,0,1,1,0,1,1,0,1,1,1,0
0.00032825,1,0,1,1,0,1,1,0,1,1,1,1
0.0003283,1,1,1,1,1,1,1,0,0,1,1,1
0.00032835,1,1,1,0,1,1,1,0,0,1,1,1
0.00033155,1,1,1,0,1,1,1,0,0,0,0,0
0.0003318,1,1,1,0,1,1,1,0,0,0,0,1
0.0003351,1,1,1,0,1,1,1,0,0,0,0,0
0.00033535,1,1,1,0,1,1,1,0,0,0,0,1
0.0003354,1,1,1,1,1,1,1,0,1,1,1,1
0.00033545,0,1,1,1,0,1,1,0,1,1,1,1
0.00033865,0,1,1,1,0,1,1,0,1,0,1,0
0.0003389,0,1,1,1,0,1,1,0,1,0,1,1
0.00034215,0,1,1,1,0,1,1,0,1,0,1,0
0.0003422,0,1,1,1,0,1,1,0,1,1,1,0
0.0003424,0,1,1,1,0,1,1,0,1,1,1,1
0.00034245,1,1,1,1,0,1,1,0,1,1,1,1
0.0003425,1,0,1,1,0,1,1,0,1,1,1,1
0.00034565,1,0,1,1,0,1,1,0,1,1,1,0
0.0003457,1,0,1,1,0,1,1,0,1,0,0,0
0.00034595,1,0,1,1,0,1,1,0,1,0,0,1
